CustomerID,FirstName,LastName,Email,Address,City,State,ZipCode
1,Danielle,Garcia,valerieboyd@example.com,"3180 Dodson Curve Suite 431
South Elizabethburgh, VT 60700",New Danielton,Minnesota,87651
2,Angel,Jennings,joshua89@example.net,"7262 Sims Squares
Port Courtneyfurt, MH 91039",Cartershire,California,47606
3,Joshua,Stephens,conniesimmons@example.com,"6498 Kristin Common
Jillton, NY 88929",North Samuel,New Jersey,64644
4,Jeffrey,Levine,comptonshelly@example.net,"65790 Richardson Rue
New Jennaborough, DC 44400",North Richardhaven,Maryland,73445
5,Jill,Howard,ufloyd@example.net,"793 Luke Grove
Ramirezland, MN 45750",South Cathy,Montana,05866
6,Erica,Sanders,trussell@example.com,"8847 Marsh Square
East Patriciamouth, CO 11009",Port James,Mississippi,78986
7,Patricia,Lopez,karenwells@example.org,"1124 Heidi Parks
Port James, SC 03475",Tinaview,Nevada,61365
8,Christopher,Martinez,meredith27@example.org,"5670 Lopez Brooks
Port Stacey, SD 44525",Williamview,Maryland,69207
9,Robert,Charles,jfaulkner@example.net,"579 Ellis Port Apt. 424
South Nathan, LA 06703",Blackburnton,Florida,31992
10,Anthony,Gibson,paulscott@example.com,"2928 White Extensions Apt. 231
West Autumnmouth, KS 48954",North Jeffrey,Missouri,04329
11,Jeffery,Bates,nielsenmelanie@example.org,"552 West Estates
Davidtown, MO 65960",Floreschester,Arkansas,17229
12,William,May,brettbennett@example.net,"2088 Holland Hill Suite 492
Morganville, VA 63282",East Jennifer,Delaware,71338
13,Anthony,Harper,russojacob@example.net,"PSC 2814, Box 0693
APO AA 47345",East Cameronburgh,Oklahoma,02754
14,James,Smith,timothybooth@example.com,"398 Kimberly Trafficway
Jamesland, ND 58888",Lake Jessica,Missouri,10041
15,Debra,Buchanan,susan03@example.org,"637 Morrison Pass
Lake Michaelberg, VT 56552",Port Alexis,Kansas,03611
16,Amy,Sanchez,burgesskaren@example.org,"45547 Jason Mills Suite 742
Chandlerchester, DC 77463",Aaronborough,New York,39835
17,Jeffrey,Martinez,randyallen@example.com,"47851 Davis Lodge
Robertside, NH 93594",North Bruce,Wisconsin,13913
18,Bridget,Cunningham,oscar85@example.com,"26487 Mackenzie Hollow
Troymouth, IN 04018",New Aprilbury,Florida,82035
19,Lisa,Jones,michael77@example.org,"4714 White Spurs
North David, KY 65126",Juliafurt,Missouri,38210
